x                 y
0.00000000     1.00000000
0.10000000     0.99500000
0.20000000     0.98029702
0.30000000     0.95674118
0.40000000     0.92561675
0.50000000     0.88847651
0.60000000     0.84696734
0.70000000     0.80267879
0.80000000     0.75703375
0.90000000     0.71122580
1.00000000     0.66619759
